char,word
一,wan
丁,stri:t
七,se've@n
三,t&ri:
下,bi'lou
丈,le'ngkt&
上,e@bav
丑,sain
丐,be'ger
不,ne'ge@ti'v
丙,t&erd
世,dz'e'nereis'e@n
丕,la`rdz'
且,mo`rouver
丘,hi'l
丞,he'lp
丟,di'ska`rd
並,rou
丫,bi'ferkeis'e@n
中,i'n
串,spi't
丸,raund
凡,ka`me@npleis
丹,re'd
主,lo`rd
乃,fram
久,lo`ng
么,te'nder
之,av
尹,e@fi's'e@l
乍,d&ou
乏,de'ste@tu:s'e@n
乎,kwe'sts'e@n
乒,
乓,
乖,e@pouz
乘,pauer
乙,du:ple@ke@t
九,nain
也,bi:
乞,be'g
乩,di'vain
乳,mi'lk
乾,draut
亂,wo`r
了,ke@mpli:t
予,bi'fo`rha'nd
事,ma'ter
二,tu:
于,goui'ng
云,sei
井,we'l
互,myu:ts'u:e@li:
五,faiv
亙,reindz'
些,se@mtaimz
亞,ra'ngk
亟,fa'st
亡,di'si:st
交,mi'ngge@l
亦,o`lsou
亥,sain
亨,pa's
享,e'ndz'oi
京,ka'pe@te@l
亭,pe@vi'lye@n
亮,kli'r
人,perse@n
仁,hyu:ma'ni'ti:
什,yu:te'nse@l
仃,lounli:
仆,fo`l
仇,fou
仍,d&e'rfo`r
今,nau
介,s'e'lfi's'
仄,se@dz'e'st
以,bi'ko`z
付,e@dhi'r
仔,o`fspri'ng
仕,e@te'nd
他,ad&er
仗,kein
代,sabste@tu:t
令,o`rderz
仙,herme@t
仞,fa'd&e@m
仿,i'me@teit
伉,seim
伙,ke@mpa'nye@n
伊,i'te@li:
伕,ka`me@n
伍,faiv
伐,fe'l
休,re'st
伏,bau
仲,ri:leis'e@ns'i'p
件,e@fe'r
任,ri:spa`nse@bi'le@ti:
仰,di'pe'nd
仳,se'pereit
份,po`rs'e@n
企,anderteik
位,ra'ngk
住,dwe'l
佇,sta`p
佗,praud
佞,fla'teri:
伴,ke@nso`rt
佛,fra'ns
何,wat
估,prais
佐,e@si'ste@nt
佑,he'lp
伽,nersi'ng
伺,vi'zi't
伸,i'kspa'nd
佃,kalte@veiti'd
佔,yu:serp
似,bi'kami'ng
但,haue'ver
佣,ke@mi's'e@n
作,meik
你,yu:
伯,ts'i:f
低,louer
伶,a'kter
余,maise'lf
佝,fu:li's'
佯,pri:te'nd
依,ri'laie@nt
侍,weiter
佳,e'kse@le@nt
使,yu:s
佬,ma'n
供,se@bmi't
例,i'gza'mpe@l
來,kam
侃,stro`ng
佰,handre@d
併,dz'oin
侈,lagz'eri:
佩,we'r
佻,fre@va`le@ti:
侖,t&i'ngk
佾,rou
侏,a'kter
信,feit&
侵,i'nkrouts'
侯,ma`rki:
便,ke@nvi:nye@ns
俠,s'i've@lri:
俑,e'fi'dz'i:
俏,laik
保,pre@te'kt
促,sti'mye@leit
侶,ke@mpa'nye@n
俘,ka'pti'v
俟,weit
俊,dz'i:nye@s
俗,valger
侮,sko`rn
俐,kle'ver
俄,sade@n
係,ke@ne'ks'e@n
俚,rasti'k
俎,o`lter
俞,
倌,gru:m
倍,dabe@l
倣,e'mye@leit
俯,be'nd
倦,lu:z
倥,bu'ri's'
俸,staipe@nd
倩,ke'rfe@li:
倖,ha'pi:ne@s
倆,ski'l
值,
借,ba`rou
倚,li:n
倒,ouvert&rou
們,plu're@l
俺,ai
倀,goust
倔,stabern
倨,praid
俱,o`l
倡,pra`ste@tu:t
個,i'nde@vi'dz'e@we@l
候,klaime@t
倘,i'f
俳,haiku:
修,di'se@ple@n
倭,ya`ma`tou
倪,ste'r
俾,tu:ter
倫,e't&i'ks
倉,goudaun
偺,
偽,fa'lshu'd
停,ho`lt
假,te'mpere'ri:
偃,da'm
偌,d&as
做,meik
偉,a'dmere@be@l
健,he'lt&i:
偶,a'kse@de'nte@li:
偎,kade@l
偕,te@ge'd&er
偵,spai
側,said
偷,
偏,pa`rs'e@l
倏,kwi'k
傢,stabern
傍,baista'nder
傅,tu:ter
備,i'kwi'p
傑,greitne@s
傀,la`rdz'
傖,valger
傘,e@mbre'le@
傭,e'mploi
債,ba`nd
傲,bi:
傳,same@n
僅,wi:
傾,li:n
催,spa`nser
傷,waund
傻,fu:li's'
傯,erdz'e@nt
僧,mangk
僮,ts'aild
僥,lak
僖,e'ndz'oime@nt
僭,yu:serp
僚,ka`li:g
僕,mi:
像,sta'ts'u:
僑,e'kspeitri:eit
僱,e'mploi
億,handre@d
儀,se're@mouni:
僻,pre'dz'e@di's
僵,ke@la'ps
價,prais
儂,ai
儈,brouker
儉,i'ka`ne@mi:
儒,ke@nfyu:s'e@n
儘,bi'ko`z
儔,ke@mpa'nye@n
儐,e'ntertein
優,te'nderne@s
償,re'pereis'e@n
儡,di'fi:t
儲,bi:
儷,ke@mpa'nye@n
儼,si'ri:e@s
兀,lo`fti:
元,bi'gi'ni'ng
允,laise@ns
充,e@la`t
兄,e'lder
光,rei
兇,wi'ke@dne@s
兆,po`rte'nt
先,bi'fo`r
兌,i'ksts'eindz'
克,ouverkam
免,i'kskyu:s
兔,ra'be@t
兒,ts'aild
兕,fi:meil
兗,i'sta'bli's'
兜,he'lme@t
兢,di'skri:t
入,e'nter
內,
全,houl
兩,bout&
八,eit
六,si'ks
兮,a`gzi'lyeri:
公,pabli'k
共,te@ge'd&er
兵,souldz'er
具,tu:l
其,d&a't
典,koud
兼,ke@nkere@ntli:
冀,wi's'
冉,re'd
冊,toum
再,e@ge'n
冒,ri'sk
冑,he'lme@t
冕,kraun
最,atmoust
冗,su:perflwas
冠,kraun
冤,heitre@d
冥,da`rk
冢,maund
冬,wi'nter
冰,ais
冶,me'lti'ng
冷,ku:l
冽,kould
凍,frouze@n
凌,e'ndyu'r
准,e@sousi:e@t
凋,wi'd&er
凜,kould
凝,ke@ndz'i:l
几,teibe@l
凰,fi:meil
凱,vi'kteri:
凳,be'nts'
凶,vi'le@n
凹,ka`nkeiv
出,e'gzi't
凸,ke@nve'ks
函,ba`ks
刀,so`rd
刁,tri'ki:
刃,bleid
分,pa`rt
切,kat
刈,ri:p
