char,word
一,uno
丁,bario
七,siete
三,tres
下,debaxo
丈,unidad
上,ariba
丑,signo
丐,
不,negatibo
丙,tersera
世,xenerasion
丕,grande
且,ademas
丘,kolina
丞,ayudar
丟,deskartar
並,alinear
丫,bifurkasion
中,sentro
串,broketa
丸,redondo
凡,mediokre
丹,roxo
主,sen~or
乃,partikula
久,muts'o
么,
之,esto
尹,ofisial
乍,
乏,eskaso
乎,kession
乒,
乓,
乖,
乘,poder
乙,segundo
九,nuebe
也,ser
乞,petision
乩,
乳,lets'e
乾,seko
亂,gera
了,kompletar
予,antemano
事,kosa
二,dos
于,ida
云,desir
井,poso
互,mutuo
五,sinko
亙,
些,
亞,
亟,rapido
亡,desapareser
交,kambio
亦,tambien
亥,signo
亨,pasar
享,resibir
京,kapital
亭,restaurante
亮,klaro
人,persona
仁,umanidad
什,utensilio
仃,solo
仆,kaer
仇,enemigo
仍,por
今,aora
介,interbension
仄,
以,ademas
付,aderir
仔,
仕,trabaxo
他,otro
仗,kana
代,xenerasion
令,ordenes
仙,ermitan~o
仞,
仿,
伉,mismo
伙,kompanero
伊,fonetika
伕,
伍,ekipo
伐,talar
休,deskanso
伏,rebes
仲,mediasion
件,asunto
任,responsabilidad
仰,admirar
仳,separar
份,porsion
企,eskema
位,grado
住,residir
佇,parar
佗,
佞,
伴,segidor
佛,fransia
何,ke
估,presio
佐,ayuda
佑,protexer
伽,asistensia
伺,aser
伸,prolongar
佃,
佔,usurpar
似,pareserse
但,embargo
佣,kommission
作,aser
你,tu
伯,xefe
低,barato
伶,musiko
余,remanente
佝,tonto
佯,
依,konfiar
侍,sirbiente
佳,exselente
使,usar
佬,ombre
供,ofreser
例,exemplo
來,benir
侃,fuerte
佰,sien
併,kombinasion
侈,luxo
佩,usar
佻,fribolidad
侖,pensar
佾,fila
侏,
信,konfiansa
侵,inbadir
侯,markes
便,konbeniensia
俠,
俑,
俏,gustar
保,garantisar
促,apremiar
侶,kompanero
俘,kaptibo
俟,esperar
俊,exselente
俗,bulgar
侮,despresio
俐,
俄,subito
係,kargo
俚,rustiko
俎,
俞,
倌,
倍,doble
倣,emulasion
俯,doblar
倦,perder
倥,
俸,remunerasion
倩,
倖,felisidad
倆,abilitad
值,
借,deuda
倚,inklinar
倒,kaida
們,plural
俺,yo
倀,fantasma
倔,terko
倨,orguyo
俱,todo
倡,prostituta
個,indibiduo
候,klima
倘,
俳,aiku
修,dissiplina
倭,yamato
倪,mirar
俾,tutor
倫,etika
倉,almasen
偺,
偽,falsedad
停,parada
假,temporario
偃,presa
偌,
做,aser
偉,admirable
健,salud
偶,numero
偎,
偕,xunto
偵,espiar
側,lado
偷,
偏,parsial
倏,rapido
傢,terko
傍,besindad
傅,tutor
備,ekipar
傑,grandesa
傀,grande
傖,
傘,paraguas
傭,emplear
債,prestamo
傲,ser
傳,konbokar
僅,meramente
傾,apoyo
催,efektuar
傷,erida
傻,tonto
傯,urxente
僧,monxe
僮,nino
僥,suerte
僖,enxoymente
僭,usurpar
僚,kolega
僕,yo
像,estatua
僑,
僱,emplear
億,sien
儀,regla
僻,
僵,kolapso
價,presio
儂,
儈,
儉,
儒,konfusionismo
儘,
儔,kompanero
儐,
優,exselente
償,kompensasion
儡,
儲,ser
儷,kompanero
儼,serioso
兀,
元,komienso
允,konsentimiento
充,asignar
兄,ermano
光,rayo
兇,maldad
兆,presaxio
先,adelante
兌,
克,benser
免,exkusa
兔,
兒,nino
兕,embra
兗,
兜,yelmo
兢,
入,entrar
內,
全,kompleto
兩,
八,ots'o
六,seis
兮,auxiliario
公,publiko
共,ambos
兵,soldado
具,eramienta
其,eso
典,eskrito
兼,konkurentemente
冀,
冉,roxo
冊,tomo
再,nuebo
冒,riesgo
冑,yelmo
冕,korona
最,superlatibo
冗,superfluo
冠,korona
冤,
冥,oskuro
冢,montikulo
冬,inbierno
冰,ielo
冶,fundision
冷,frio
冽,frio
凍,elado
凌,aguantar
准,permitir
凋,marts'itar
凜,frio
凝,rixides
几,mesa
凰,embra
凱,grito
凳,
凶,mal
凹,ueko
出,salir
凸,konbexo
函,kaxa
刀,espada
刁,
刃,oxa
分,parte
切,kortar
刈,segar
刊,publikar
列,fila
刑,pena
划,fila
刎,
別,separar
判,diferensiar
利,ganansia
刪,kortar
刨,
刻,grabar
券,biyete
刷,impreso
刺,espina
到,yegar
刮,
制,determinar
剁,
剎,
剃,
削,sepiyo
前,delante
剌,
剋,biktoria
則,regla
剖,dibidir
剜,kortar
剔,
剛,fuerte
剝,
剪,
副,bise
割,dibidir
剴,
創,fundar
剩,
剿,destruir
剷,nibel
剽,amenasa
劃,dibidir
劇,drama
劈,romper
劉,
劍,espada
劑,medisina
力,potensia
加,agregar
功,logro
劣,debilidad
劫,amenasa
助,ayudar
努,esfuerso
劬,bolber
劾,sensura
勇,balentia
勉,esforsarse
勃,repentino
勁,fuerte
勒,
務,tarea
勘,intuision
動,mober
勞,
勝,ganar
勛,
募,reklutar
勦,destruir
勤,tarea
勢,fuersa
勵,esforsar
勸,
勻,igual
勾,
勿,deber
包,enbolber
匆,korer
匈,
匍,gatear
匐,gatear
匏,kalabasa
匕,kuiyer
化,kambiar
北,norte
匙,kuts'ara
匝,ir
匡,korexir
匠,artesano
匣,
匪,negasion
匯,
匱,pets'o
匹,persona
匿,eskondite
區,
匾,
十,dies
千,mil
午,mediodia
升,kaxa
卅,tirdad
仟,mil
半,mitad
卉,ierba
卒,graduasion
協,kooperasion
卓,exseder
卑,umilde
南,sur
博,dr
卜,adibinasion
卞,lei
卡,
占,adibinar
卦,dibinasion
卯,signo
卮,
印,estampa
危,peligroso
即,bes
卵,uebo
卷,
卸,benta
卹,
卻,
卿,alto
厄,desgrasia
厚,grueso
原,orixen
厝,kortar
厥,
厭,
厲,piedra
去,pasado
參,tres
又,otra
叉,
友,amigo
及,alkansar
反,anti
取,tomar
叔,tio
受,resipiente
叛,desobedeser
叟,biexo
曼,ants'o
叢,
口,boka
可,bueno
古,biexo
右,derets'a
召,sedusir
叮,kortesia
叩,golpe
叨,
叼,
司,dirixir
叵,
叫,grito
另,
只,solo
史,istoria
叱,regan~ina
台,estante
句,frase
叭,abrir
吉,buena
吏,ofisial
同,mismo
吊,
