char,word
一,e~
丁,pa
七,set
三,trwa
下,o-desu
丈,"lo~go""r"
上,o-desu
丑,se~~
丐,
不,negatio~
丙,trwazye:m
世,z\'eneratio~
丕,gra~
且,plu
丘,cole~
丞,secur
丟,z'ete
並,ra~z\'e
丫,bifurkasion
中,da~
串,bros'et
丸,ro~
凡,mediocr
丹,"culo""r"
主,metr
乃,a~clitik
久,lo~gta~
么,
之,esto
尹,ofisiel
乍,
乏,e~sufisa~
乎,kestio~
乒,
乓,
乖,
乘,puvwar
乙,radical
九,"no""f"
也,etr
乞,ma~die
乩,
乳,le
乾,ses'eres
亂,z\'er
了,as'ev
予,oparava~
事,fe
二,"do"""
于,ale
云,dir
井,pui
互,mutuel
五,se~k
亙,
些,
亞,ra~g
亟,rapi
亡,dese
交,mela~z\'e
亦,tambien
亥,se~~
亨,pase
享,resevwar
京,capital
亭,pavio~
亮,cle
人,etr
仁,umani
什,usta~sil
仃,"so""l"
仆,to~be
仇,enemigo
仍,do~c
今,ma~tena~
介,e~mixtio~
仄,
以,mwaia~
付,cole
仔,
仕,servir
他,otr
仗,ca~n
代,substitue
令,ordr
仙,ermi
仞,
仿,
伉,ma~
伙,co~pa~~o~
伊,itali
伕,
伍,se~k
伐,abatr
休,repo
伏,prostr
仲,relatio~
件,afe
任,respo~sabili
仰,regarde
仳,separe
份,porsion
企,a~trepra~dr
位,ra~g
住,reside
佇,arete
佗,
佞,
伴,etr
佛,fransia
何,kwa
估,pri
佐,asista~
佑,e
伽,asistensia
伺,visite
伸,alo~z\'e
佃,
佔,usurpe
似,resa~ble
但,purta~
佣,kommission
作,fabrike
你,twa
伯,s'ef
低,ba
伶,"acto""r"
余,tro
佝,fu
佯,
依,depa~da~
侍,"servito""r"
佳,exsel
使,utilise
佬,o~m
供,presa~te
例,exa~pl
來,venir
侃,for
佰,sa~
併,fe
侈,lux
佩,porte
佻,fribolidad
侖,pa~se
佾,ra~g
侏,"acto""r"
信,fwa
侵,e~trusio~
侯,marki
便,co~modi
俠,
俑,
俏,eme
保,protez\'e
促,stimule
侶,co~pa~~o~
俘,kaptibo
俟,esperar
俊,sagasi
俗,vulz\'e
侮,meprise
俐,
俄,suda~
係,s'arg
俚,rustiko
俎,
俞,
倌,
倍,dubl
倣,imite
俯,plie
倦,perdr
倥,
俸,treta~
倩,
倖,"bo~o""r"
倆,co~peta~c
值,
借,a~pre~te
倚,pa~s'e
倒,ra~verse
們,plural
俺,z'
倀,fa~to~
倔,obste~
倨,fie
俱,tu
倡,prostitue
個,e~dividuel
候,clima
倘,
俳,"acto""r"
修,disiple~
倭,yamato
倪,fixe
俾,"tuto""r"
倫,etik
倉,selie
偺,
偽,fo
停,are
假,temporario
偃,barag
偌,
做,fe
偉,admirabl
健,sa~
偶,par
偎,
偕,a~sa~bl
偵,espio~
側,co
偷,
偏,partial
倏,rapi
傢,obste~
傍,"observato""r"
傅,"tuto""r"
備,ekipe
傑,"gra~do""r"
傀,gra~
傖,
傘,paraplui
傭,a~plwaie
債,det
傲,etr
傳,apele
僅,meramente
傾,e~cline
催,meca~
傷,blesur
傻,fu
傯,urxente
僧,pretr
僮,a~fa~
僥,s'a~c
僖,enxoymente
僭,usurpe
僚,coleg
僕,z'
像,statu
僑,
僱,a~plwaie
億,sa~milyo~
儀,seremoni
僻,
僵,efo~dre
價,pri
儂,z'
儈,
儉,
儒,co~fusea~
儘,
儔,co~pa~~o~
儐,
優,ta~dres
償,co~pa~satio~
儡,
儲,etr
儷,co~pa~~o~
儼,serioso
兀,
元,co~ma~ca~
允,lica~c
充,atribue
兄,fre
光,raio~
兇,mes'a~se
兆,bilyo~
先,ava~
兌,
克,surmo~te
免,excuse
兔,
兒,a~fa~
兕,femel
兗,
兜,cask
兢,
入,a~tre
內,
全,totali
兩,"do"""
八,uit
六,sis
兮,auxiliario
公,public
共,a~sa~bl
兵,solda
具,util
其,sela
典,co
兼,simultana~
冀,
冉,rug
冊,to~
再,a~cor
冒,risk
冑,cask
冕,curo~n
最,plu
冗,superflu
冠,curo~n
冤,
冥,so~br
冢,tertr
冬,ive
冰,ielo
冶,fundision
冷,frwa
冽,frwa
凍,z\'el
凌,aguantar
准,presk
凋,fane
凜,frwa
凝,co~z\'ele
几,tabl
凰,femel
凱,victwar
凳,
凶,voria~
凹,co~cav
出,sortir
凸,co~vex
函,cofr
刀,epe
刁,
刃,la~
分,portio~
切,cupe
刈,mwaso~ne
刊,publie
列,fil
刑,pa~
划,ra~g
刎,
別,separe
判,z'uga~
利,profi
刪,cupe
刨,
刻,grave
券,ticke
刷,e~prime
刺,pike
到,arive
刮,
制,sista~
剁,
剎,
剃,
削,rabote
前,deva~
剌,
剋,victwar
則,regla~
剖,diseke
剜,cupe
剔,
剛,ferme
剝,
剪,
副,vise-
割,brise
剴,
創,fo~datio~
剩,
剿,detruir
剷,nivo
剽,menac
劃,divise
劇,teatr
劈,brise
劉,
劍,epe
劑,reme
力,forc
加,az'ute
功,"ro""si"
劣,e~feriori
劫,menac
助,ede
努,eforse
劬,devenir
劾,ca~sur
勇,curag
勉,exersic
勃,repentino
勁,for
勒,
務,tas'
勘,e~tuitio~
動,buz\'e
勞,
勝,victwar
勛,
募,recrute
勦,detruir
勤,asidui
勢,"vigo""r"
勵,eforse
勸,
勻,egal
勾,
勿,n
包,a~bale
匆,rue
匈,
匍,ra~pe
匐,ra~pe
匏,gr
匕,cuie
化,tra~sformatio~
北,nor
匙,kuts'ara
匝,ale
匡,corec
匠,artisa~
匣,
匪,negasion
匯,
匱,pwatre~
匹,egal
匿,cas'e
區,
匾,
十,dis
千,mil
午,midi
升,bwa
卅,tra~t
仟,mil
半,de@mi
卉,erb
卒,fe~
協,cooperatio~
卓,eme~
卑,e~bl
南,su
博,"docto""r"
卜,adibinasion
卞,lwa
卡,
占,bo~n
卦,dibinasion
卯,se~~
卮,
印,ta~po~
危,"da~z\'ero"""
即,e~sta~ta~
卵,"oo""f"
卷,vole~
卸,va~
卹,
卻,
卿,twa
厄,mals'a~c
厚,epe
原,pr
厝,cupe
厥,
厭,
厲,ez\'iswar
去,parti
參,trwa
又,a~cor
叉,
友,ami
及,alo~z\'e
反,a~ti-
取,pra~dr
叔,o~cl
受,subir
叛,desobe
叟,"vio"""
曼,larg
叢,
口,bus'
可,posibl
古,"vio"""
右,drwa
召,fe
叮,curtwasi
叩,frape
叨,
叼,
司,"directo""r"
叵,
叫,crie
另,
只,"so""l"
史,istwar
叱,gro~de
台,piedestal
句,fras
叭,uvrir
吉,bo~n
吏,fo~ctio~ne
同,ida~tik
吊,
吐,cras'e
吁,exclamatio~
吋,
各,s'ase~
向,s
名,no~
合,corespo~dr
吃,
后,e~peratric
吆,
吒,crie
吝,avar
吭,gorg
吞,avale
吾,mwa
否,no~
呎,pie
吧,a~fatik
呆,perplexidad
呃,
吳,
呈,devwale
呂,colo~n
君,"z'o""n"
吩,do~ne
告,revelatio~
吹,sufle
吻,
吸,aspire
吮,suse
吵,
吶,begaie
吠,abwaie
吼,abwaie
呀,vi
吱,gazuii
含,e~clur
吟,versifie
味,g
呵,gro~de
咖,
呸,
咕,
咀,mordr
呻,z\'emir
呷,
咄,gro~de
咒,
咆,abwaie
呼,apele
咐,
呱,"plo""re"
呶,bruia~
和,armoni
咚,
呢,a~fatik
周,sirco~fera~c
咋,crie
命,destine
咎,
咬,mordr
哀,pitwaiabl
咨,
哎,e~terz'ectio~
哉,co~m
咸,tu
咦,expression
咳,tos
哇,
哂,
咽,gorg
咪,
品,mars'a~dis
哄,
哈,ecol
咯,kerel
咫,cur
咱,
咻,crie
哨,
唐,a~g
唁,exprime
唷,
哼,
哥,gra~
哲,filosofi
唆,e~site
哺,kultibar
唔,
哩,
哭,"plo""re"
員,a~plwai
唉,
哮,ruz\'ir
哪,kel
哦,s'a~te
唧,
商,co~merc
啪,
啦,final
啄,pikar
啞,
啡,
啃,
啊,particul
唱,s'a~
啖,ma~z\'e
問,kestio~
啕,
唯,"so""la~"
啤,
唸,
售,va~dr
啜,suse
唬,
啣,tenir
唳,"plo""re"
啻,inkomparable
喀,vomir
喧,bruia~
啼,abwaie
喊,"plo""re"
喝,gro~de
喘,
喂,e~terz'ectio~
喜,s
喪,pe
喔,deskriptibo
喇,bavarde
喋,parle
喃,bavarde
喳,
單,e~
喟,z\'emir
唾,saliv
喲,
喚,urle
喻,
喬,o
喱,
啾,"plo""re"
喉,gorg
嗟,lamente
嗨,
嗓,vwa
嗦,
嗎,final
嗜,eme
嗇,avar
嗑,repros'
嗣,eritie
嗤,rir
嗯,
嗚,"plo""re"
嗡,
嗅,sa~tir
嗆,etufe
嗥,
嗾,e~site
嘀,
嘛,bl
嘗,fwa
嗽,re~se
嘔,vomir
嘆,s
嘉,bueno
嘍,utilis
嘎,move
嗷,bruia~
嘖,gro~de
嘟,
嘈,bruia~
嘮,
嘻,
嘹,utilis
嘲,ridicul
嘿,etr
嘴,
嘩,bruia~
噓,
噎,etufe
噗,
噴,eruptio~
嘶,
嘯,ruz\'ir
嘰,
噙,
噫,exclamatio~
噹,
噩,move
噤,ferme
噸,tonnaxe
噪,etr
器,usta~sil
噥,
噱,rir
噯,e~terz'ectio~
噬,mordr
噢,z\'emir
嚎,
嚀,ga~ties
嚐,
嚅,parle
嚇,menasa~
嚏,
嚕,talkatibo
嚮,
嚥,avale
嚨,gorg
嚷,crie
嚶,gazuii
嚴,seberidad
嚼,mordr
囁,s'us'ote
囀,s'a~te
囂,bruia~
囈,fu
囊,sac
囉,
囌,loquasioso
囑,dema~
四,katr
囚,capture
因,cos
回,turne
囪,
困,a~bara
囤,gra~
固,soli
圃,z'arde~
圈,sfe
國,pai
圍,
園,parc
圓,ia~
團,asosiatio~
圖,
土,sol
圳,sio~
地,sol
在,existe
圭,z'waio
圬,
圯,po~
坊,garso~
坑,me~
址,rue~
坍,efo~dre
均,nivel
坎,pieg
圾,ordur
坐,asewar
坏,bol
垃,ordur
坷,ter
坪,tsubo
坩,z'ar
坡,dike
坦,nivo
坤,tiera
坼,partir
垂,pa~dr
型,mul
垠,
垣,e
垢,cras
城,s'ato
垮,
埂,
埔,utilis
埋,a~tere
埃,pusie
域,zo~
堅,tenac
堊,
堆,tore
埠,
埤,anadir
基,fo~dema~
堂,edific
堵,baya
執,pra~dr
培,cultur
堯,o
堪,resista~c
場,"lio"""
堤,dig
堰,barag
報,rapor
堡,for
塞,ferme
塑,plastik
塘,dike
塗,pa~tur
塚,but
塔,pago
填,ra~plir
塌,efo~dre
塭,
塊,mot
塢,viag
塵,pusie
塾,cur
境,fro~tie
墓,to~b
墊,abansar
塹,foso
墅,
墀,
墟,rue~
增,aumentar
墳,to~bo
墜,ecrase
墮,
壁,mur
墾,defris'ag
壇,tribe~
壅,
壕,
壓,
壑,vale
壙,tru
壘,for
壞,demolision
壟,tertr
壢,
壤,sol
壩,embankmente
士,ga~tilo~m
壬,cala~drie
壯,gra~
壹,e~
壺,z'ar
壽,lonxebidad
夏,e
夔,
夕,sware
外,"exterio""r"
夙,bria~
多,bocu
夜,nui
夠,
夥,
夢,rev
夤,
大,gra~
天,"sio"""
夫,mari
太,gra
夭,kalamidad
央,ca~tr
失,perdr
夷,barbar
夸,
夾,e~sere
奉,obesa~c
奇,etra~g
奈,nara
奄,cuvrir
奔,curir
奕,gra~
契,a~gaga~
奏,z'ue
奎,etwal
奐,cle
套,
奘,gra~
奚,"servito""r"
奢,extrabagansia
奠,desision
奧,"coo""r"
奪,derobe
奩,
奮,exsitatio~
女,fa~m
奴,mec
奶,lets'e
妄,iusio~
奸,mes'a~se
妃,ra~
好,eme
她,
如,resa~bla~c
妁,ale
妝,rob
妒,seloso
妨,a~pes'e
妞,
妣,me
妙,bizar
妖,sospets'oso
妍,bo
妤,bo
妓,etire
妊,groses
妥,emabl
妾,co~cube~
妻,epus
委,comi
妹,"soo""r"
妮,
姑,me
姆,umi
姐,a~
姍,calo~ni
始,co~ma~se
姓,no~
姊,a~
妯,
妳,twa
姒,epus
姜,xenxibre
姘,
姿,siluet
姣,bo
姨,menor
娃,bo
姥,"vio"""
姪,sobrina
姚,bo
姦,
威,e~timida~
姻,co~z'ugal
娑,"vio"""
娘,fi
娜,elegante
娟,bo
娛,
娓,
姬,
娠,fa~m
娣,menor
娩,oso
娥,bo
娌,fre
娶,
婁,frekuente
婉,elegante
婦,fa~m
婪,kodisiar
婀,
娼,prostitue
婢,maidserbante
婚,mariag
婆,viel
婊,
婷,pretdad
媚,adular
婿,fia~c
媒,"mediato""r"
媛,bel
嫁,pra~dr
嫉,seloso
嫌,aversio~
媾,asosiatio~
媽,me
媼,me
媳,fi
嫂,a~
媲,par
嫡,lez\'ite~
嫦,
嫩,"z'o""n"
嫗,me
嫖,
嫘,
嫣,bo
嬉,kontento
嫻,elegante
嬋,bo
嫵,
嬌,atira~
嬝,
嬴,ga~~e
嬰,eg
嬪,
嬤,
嬸,epus
孀,
子,a~fa~
孑,
孓,
孔,cavi
孕,devenir
字,caracte
存,supose
孝,pie
孜,
孚,sinsero
孟,xefe
孤,orfele~
季,seso~
孩,
孫,petits-a~fa~
孰,kel
孳,aumentar
孱,febl
孵,
學,
孺,a~fa~
孽,mal
孿,
它,otr
宇,firma~
守,garde
宅,domisil
安,pesibl
完,parfe
宋,dinastia
宏,larg
宗,reliz\'io~
定,determe~
官,fo~ctio~ne
宜,co~venabl
宙,pla~
宛,adres
宣,proclame
宦,ofisiel
室,piec
客,o
宥,trankilisar
