char,word
一,u~
丁,rua
七,sete
三,tres
下,bais'o
丈,komprime~to
上,asima
丑,signo
丐,
不,prefis'o
丙,terseira
世,z'erasa~u
丕,grande
且,outrosi~
丘,moro
丞,ayudar
丟,deskartar
並,fila
丫,bifurkasion
中,e~
串,broketa
丸,aredo~dar
凡,mediokre
丹,feruz'e~
主,se~or
乃,partikula
久,tempo
么,
之,esto
尹,ofisial
乍,
乏,pribasa~u
乎,kession
乒,
乓,
乖,
乘,poder
乙,ultimo
九,nobe
也,ser
乞,petision
乩,
乳,leite
乾,seka
亂,gera
了,kompletar
予,a~tema~u
事,materia
二,dois
于,ida
云,desir
井,poso
互,mutuame~te
五,si~ko
亙,
些,
亞,
亟,rapido
亡,falesido
交,misturar
亦,tambien
亥,signo
亨,pasar
享,reseber
京,kapital
亭,pabil'a~u
亮,klaro
人,pesoa
仁,umanidade
什,utensilio
仃,solo
仆,kaer
仇,enemigo
仍,por
今,agora
介,komprimir
仄,
以,meios
付,aderir
仔,
仕,ate~der
他,outro
仗,kana
代,substituto
令,pedidos
仙,eremita
仞,
仿,
伉,mismo
伙,kompanero
伊,fonetika
伕,
伍,ekipo
伐,derotado
休,deska~so
伏,prostrado
仲,relasioname~to
件,roma~se
任,respo~sabilidade
仰,rosto
仳,separar
份,porsion
企,empree~da
位,posisa~u
住,reside
佇,parar
佗,
佞,
伴,ko~sorte
佛,fransia
何,ke
估,presio
佐,asiste~te
佑,protexer
伽,asistensia
伺,retribuir
伸,es'pa~dir
佃,
佔,usurpar
似,formasa~u
但,e~treta~to
佣,kommission
作,fazer
你,tu
伯,s'efe
低,abais'e
伶,musiko
余,demais
佝,tonto
佯,
依,ko~fia~te
侍,garso~
佳,bo~
使,uso
佬,ombre
供,submeter
例,es'emplo
來,benir
侃,fuerte
佰,sien
併,unir
侈,luxo
佩,usar
佻,fribolidad
侖,pensar
佾,fila
侏,
信,fe
侵,usurpar
侯,markes
便,ko~benie~sia
俠,
俑,
俏,gustar
保,protez'er
促,estimular
侶,kompanero
俘,kaptibo
俟,esperar
俊,sagaz
俗,bulgar
侮,desde~
俐,
俄,subito
係,pesoa
俚,rustiko
俎,
俞,
倌,
倍,duplikar
倣,emular
俯,doblar
倦,perder
倥,
俸,estipe~dio
倩,
倖,felisidad
倆,abilitad
值,
借,pedir
倚,inklinar
倒,keda
們,plural
俺,yo
倀,fantasma
倔,terko
倨,orguyo
俱,todo
倡,prostituta
個,i~dibiduo
候,klima
倘,
俳,aiku
修,disiplina
倭,yamato
倪,mirar
俾,tutor
倫,etika
倉,deposito
偺,
偽,falsidade
停,parada
假,temporario
偃,presa
偌,
做,aser
偉,admirabel
健,saudabel
偶,aside~talme~te
偎,
偕,xunto
偵,espia~u
側,lado
偷,
偏,parsial
倏,rapido
傢,terko
傍,espektador
傅,tutor
備,ekipe
傑,gra~deza
傀,grande
傖,
傘,guarda
傭,emplear
債,laso
傲,ser
傳,konbokar
僅,meramente
傾,i~klinar
催,patrosinador
傷,mas'ukado
傻,tonto
傯,urxente
僧,mo~z'e
僮,nino
僥,suerte
僖,enxoymente
僭,usurpar
僚,kolega
僕,me
像,estatua
僑,
僱,emplear
億,se~
儀,serimonia
僻,
僵,kolapso
價,presio
儂,
儈,
儉,
儒,ko~fusianista
儘,
儔,kompanero
儐,
優,ternura
償,reparasa~u
儡,
儲,ser
儷,kompanero
儼,serioso
兀,
元,komeso
允,konsentimiento
充,dibida
兄,irma~u
光,raio
兇,maldad
兆,porte~to
先,a~tes
兌,
克,superar
免,deskulpar
兔,
兒,nino
兕,embra
兗,
兜,yelmo
兢,
入,e~trar
內,
全,i~teiro
兩,
八,oito
六,seis
兮,auxiliario
公,publiko
共,z'u~tame~te
兵,soldado
具,ferame~ta
其,eso
典,kodigo
兼,ko~kore~teme~te
冀,
冉,roxo
冊,tome
再,outra
冒,risko
冑,yelmo
冕,korona
最,kapasidade
冗,superfluo
冠,koroa
冤,
冥,oskuro
冢,montikulo
冬,i~berno
冰,ielo
冶,fundision
冷,fresko
冽,frio
凍,ko~z'elado
凌,aguantar
准,quase
凋,marts'itar
凜,frio
凝,ko~z'elar
几,mesa
凰,embra
凱,grito
凳,
凶,bila~u
凹,ko~kabo
出,saida
凸,ko~bes'o
函,kaxa
刀,espada
刁,
刃,lamina
分,parte
切,korte
刈,korte
刊,publikar
列,arkibo
刑,punir
划,fila
刎,
別,separar
判,z'ulgame~to
利,lukro
刪,kortar
刨,
刻,eskultura
券,bil'ete
刷,impresa~u
刺,espi~o
到,s'egar
刮,
制,sistema
剁,
剎,
剃,
削,abia~u
前,fre~te
剌,
剋,biktoria
則,regra
剖,dibida
剜,kortar
剔,
剛,robusto
剝,
剪,
副,bise
割,proporsa~u
剴,
創,z'enese
剩,
剿,destruir
剷,nibel
剽,amenasa
劃,dibidir
劇,drama
劈,romper
劉,
劍,espada
劑,medisina
力,forsa
加,somar
功,realizasa~u
劣,i~ferioridade
劫,amenasa
助,az'uda
努,trabal'o
劬,bolber
劾,se~sura
勇,koraz'e~
勉,esforso
勃,repentino
勁,fuerte
勒,
務,tarefa
勘,i~tuisa~u
動,mober
勞,
勝,bitoria
勛,
募,rekrutar
勦,destruir
勤,diliz'e~sia
勢,forsas
勵,esforsar
勸,
勻,igual
勾,
勿,deber
包,mobime~tar
匆,korer
匈,
匍,gatear
匐,gatear
匏,kalabasa
匕,kuiyer
化,muda~sa
北,norte
匙,kuts'ara
匝,ir
匡,korexir
匠,artesa~u
匣,
匪,negasion
匯,
匱,pets'o
匹,igual
匿,esko~da
區,
匾,
十,dez
千,mil
午,meio
升,medida
卅,tirdad
仟,mil
半,metade
卉,ierba
卒,soldado
協,ko
卓,emine~te
卑,umilde
南,sul
博,dr
卜,adibinasion
卞,lei
卡,
占,ler
卦,dibinasion
卯,signo
卮,
印,selo
危,perigoso
即,i~sta~te
卵,obo
卷,
卸,be~da
卹,
卻,
卿,alto
厄,i~feliz
厚,riko
原,prado
厝,kortar
厥,
厭,
厲,piedra
去,foi
參,tres
又,ou
叉,
友,amigo
及,alka~se
反,a~ti
取,tomar
叔,tio
受,aseitar
叛,desobedeser
叟,biexo
曼,ants'o
叢,
口,boka
可,aseitabel
古,bel'o
右,direita
召,seduzir
叮,kortesia
叩,golpe
叨,
叼,
司,diretor
叵,
叫,grito
另,
只,solo
史,istoria
叱,regan~ina
台,pedestal
句,frase
叭,abrir
吉,boa
吏,ofisial
同,mesmo
吊,
吐,kuspir
吁,exklamasion
吋,
各,kada
向,akele
名,nome
合,e~kais'e
吃,
后,imperatriz
吆,
吒,gritar
吝,abaro
吭,garganta
吞,tragar
吾,yo
否,nez'e
呎,pie
吧,enfatiko
呆,perplexidad
呃,
吳,
呈,mostrar
呂,kolumna
君,rapaz
吩,dar
告,rebelasa~u
吹,sopro
吻,
吸,s'upar
吮,ts'upar
吵,
吶,tartamudear
吠,ladrar
吼,ladrar
呀,basio
吱,trino
含,i~kluir
吟,deklamar
味,sabor
呵,renir
咖,
呸,
咕,
咀,morder
呻,xemir
呷,
咄,renir
咒,
咆,ladrar
呼,s'amada
咐,
呱,yorar
呶,ruidoso
和,armonia
咚,
呢,enfatiko
周,sirku~fere~sia
咋,gritar
命,destino
咎,
咬,morder
哀,patetiko
咨,
哎,interxeksion
哉,exklamasion
咸,todo
咦,expression
咳,tos
哇,
哂,
咽,garganta
咪,
品,be~s
哄,
哈,eskuela
咯,disputa
咫,korto
咱,
咻,gritar
哨,
唐,t'a~g
唁,expresar
唷,
哼,
哥,grande
哲,filosofia
唆,te~tasa~u
哺,kultibar
唔,
哩,
哭,yorar
員,empregado
唉,
哮,ruxir
哪,kual
哦,kantar
唧,
商,fazer
啪,
啦,final
啄,pikar
啞,
啡,
啃,
啊,partikula
唱,ka~to
啖,komer
問,pergu~tar
啕,
唯,some~te
啤,
唸,
售,bender
啜,ts'upar
唬,
啣,tener
唳,yorar
啻,inkomparable
喀,bomitar
喧,ruidoso
啼,ladrar
喊,yorar
喝,rouko
喘,
喂,interxeksion
喜,alegrar
喪,perda
喔,deskriptibo
喇,ts'arlar
喋,ablar
喃,ts'arlar
喳,
單,
喟,xemir
唾,saliba
喲,
喚,gritar
喻,
喬,alto
喱,
啾,yorar
喉,garganta
嗟,lamente
嗨,
嗓,bos
嗦,
嗎,final
嗜,gustar
嗇,abaro
嗑,reprots'e
嗣,erdeiro
嗤,reir
嗯,
嗚,yorar
嗡,
嗅,oler
嗆,asfixiar
嗥,
嗾,insitar
嘀,
嘛,trigo
嘗,una
嗽,enxuagar
嘔,bomitar
嘆,suspiro
嘉,bueno
嘍,usado
嘎,malo
嗷,ruidoso
嘖,renir
嘟,
嘈,ruidoso
嘮,
嘻,
嘹,usado
嘲,ridikulo
嘿,ser
嘴,
嘩,ruidoso
噓,
噎,asfixiar
噗,
噴,iromper
嘶,
嘯,ruxir
嘰,
噙,
噫,exklamasion
噹,
噩,malo
噤,serar
噸,tonnaxe
噪,ser
器,ute~silio
噥,
噱,reir
噯,interxeksion
噬,morder
噢,xemir
嚎,
嚀,
嚐,
嚅,ablar
嚇,ameasa
嚏,
嚕,talkatibo
嚮,
嚥,tragar
嚨,garganta
嚷,gritar
嚶,trino
嚴,seberidad
嚼,morder
囁,susuro
囀,kantar
囂,ruidoso
囈,tonto
囊,bolsa
囉,
囌,loquasioso
囑,petision
四,quatro
囚,katibo
因,kausa
回,bezes
囪,
困,dubida
囤,grano
固,e~dureser
圃,kampo
圈,esfera
國,
圍,
園,parke
圓,yen
團,asosiasion
圖,
土,solo
圳,surko
地,tera
在,es'istir
圭,xoya
圬,
圯,puente
坊,menino
坑,burako
址,ruina
坍,kolapso
均,nibel
坎,trampa
圾,basura
坐,sentarse
坏,tason
垃,basura
坷,tiera
坪,unidade
坩,xaro
坡,dike
坦,nibel
坤,tiera
坼,partir
垂,deklinio
型,bolor
垠,
垣,bareira
垢,krasse
城,kastelo
垮,
埂,
埔,usado
埋,e~terar
埃,polbo
域,serie
堅,ko~fia~sa
堊,
堆,tore
埠,
埤,anadir
基,fu~dame~tais
堂,kamara
堵,baya
執,tenaz
培,kultibar
堯,alto
堪,opor
場,lokalizasa~u
堤,represa
堰,presa
報,relatorio
堡,fuerte
塞,serar
塑,modelo
塘,dike
塗,pi~tura
塚,moro
塔,pagode
填,yenar
塌,kolapso
塭,
塊,grumo
塢,aldea
塵,polbo
塾,eskola
境,limite
墓,tumba
