char,word
一,bir
丁,sokak
七,yedi
三,"u""ts'"
下,alt
丈,uzunluk
上,"u""st"
丑,is'aret
丐,
不,
丙,
世,
丕,"bu""yu""k"
且,
丘,tepe
丞,yardu-m
丟,atmak
並,su-ra
丫,
中,
串,"tu""ku""rmek"
丸,yuvarlak
凡,su-radan
丹,ku-zu-l
主,bey
乃,den
久,uzun
么,nazik
之,
尹,memur
乍,
乏,
乎,soru
乒,
乓,
乖,
乘,"gu""ts'"
乙,kopya
九,dokuz
也,olmak
乞,
乩,
乳,"su""t"
乾,kuraklu-k
亂,savas'
了,tam
予,
事,
二,iki
于,gitmek
云,demek
井,kuyu
互,
五,bes'
亙,alan
些,
亞,"ru""tbe"
亟,
亡,
交,
亦,
亥,is'aret
亨,gets'mek
享,
京,bas'kent
亭,
亮,ats'u-k
人,kis'i
仁,
什,kap
仃,yalnu-z
仆,"du""s'mek"
仇,
仍,"buyu""zden"
今,
介,kabuklu
仄,
以,"ts'u""nku"""
付,
仔,
仕,
他,bas'ka
仗,baston
代,
令,"du""zen"
仙,
仞,kulats'
仿,
伉,aynu-
伙,yoldas'
伊,
伕,ortak
伍,bes'
伐,
休,dinlenme
伏,yay
仲,
件,
任,
仰,ba:lu-
仳,ayru-
份,
企,
位,"ru""tbe"
住,oturmak
佇,durmak
佗,
佞,
伴,
佛,
何,ne
估,fiyat
佐,yardu-mdz'u-
佑,yardu-m
伽,
伺,ziyaret
伸,
佃,
佔,gasp
似,
但,
佣,
作,yapmak
你,sen
伯,bas'kan
低,indirmek
伶,oyundz'u
余,
佝,aptal
佯,
依,
侍,
佳,
使,kullanmak
佬,adam
供,
例,
來,gelmek
侃,"gu""ts'lu"""
佰,"yu""z"
併,katu-lmak
侈,"lu""ks"
佩,giymek
佻,
侖,"du""s'u""nmek"
佾,su-ra
侏,oyundz'u
信,
侵,
侯,
便,
俠,
俑,
俏,gibi
保,korumak
促,
侶,yoldas'
俘,tutsak
俟,beklemek
俊,deha
俗,kaba
侮,
俐,
俄,ani
係,ba:lantu-
俚,
俎,
俞,
倌,
倍,ts'ift
倣,"o""yku""nmek"
俯,"bu""kmek"
倦,kaybetmek
倥,
俸,
倩,
倖,mutluluk
倆,bedz'eri
值,
借,
倚,yaslanmak
倒,
們,
俺,ben
倀,hayalet
倔,inatts'u-
倨,gurur
俱,"bu""tu""n"
倡,fahis'e
個,
候,
倘,
俳,
修,
倭,
倪,bakmak
俾,"o"":retmen"
倫,ahlak
倉,
偺,
偽,
停,
假,
偃,baraz'
偌,
做,yapmak
偉,
健,
偶,
偎,
偕,birlikte
偵,dz'asus
側,yan
偷,
偏,
倏,hu-zlu-
傢,inatts'u-
傍,
傅,"o"":retmen"
備,
傑,
傀,"bu""yu""k"
傖,kaba
傘,
傭,ts'alu-s'tu-rmak
債,
傲,olmak
傳,ts'a:u-rmak
僅,
傾,yaslanmak
催,
傷,yara
傻,aptal
傯,
僧,kes'is'
僮,ts'odz'uk
僥,s'ans
僖,
僭,gasp
僚,
僕,
像,
僑,
僱,ts'alu-s'tu-rmak
億,"yu""z"
儀,
僻,
僵,"ts'o""kmek"
價,fiyat
儂,ben
儈,
儉,
儒,
儘,"ts'u""nku"""
儔,yoldas'
儐,e:lendirmek
優,
償,
儡,yenilgi
儲,olmak
儷,yoldas'
儼,
兀,
元,bas'langu-ts'
允,
充,
兄,yas'lu-
光,
兇,"ko""tu""lu""k"
兆,
先,"o""ndz'e"
兌,de:is'im
克,
免,bahane
兔,
兒,ts'odz'uk
兕,dis'i
兗,
兜,mi:fer
兢,ketum
入,girmek
內,
全,
兩,ikisi
八,sekiz
六,altu-
兮,
公,
共,birlikte
兵,asker
具,alet
其,o
典,
兼,
冀,dilek
冉,ku-zu-l
冊,
再,yine
冒,risk
冑,mi:fer
冕,tats'
最,
冗,
冠,tats'
冤,
冥,karanlu-k
冢,"ho""yu""k"
冬,
冰,
冶,erimek
冷,serin
冽,so:uk
凍,
凌,dayanmak
准,
凋,solmak
凜,so:uk
凝,
几,masa
凰,dis'i
凱,zafer
凳,
凶,
凹,
出,ts'u-kmak
凸,
函,kutu
刀,ku-lu-ts'
刁,
刃,
分,
切,kesmek
刈,
刊,
列,
刑,
划,su-ra
刎,
別,ayru-
判,
利,
刪,kesmek
刨,"du""zlem"
刻,
券,
刷,
刺,diken
到,
刮,
制,
剁,
剎,
剃,
削,"du""zlem"
前,"o""ndz'e"
剌,
剋,zafer
則,kural
剖,"bo""lmek"
剜,kesmek
剔,
剛,sa:lam
剝,
剪,
副,yardu-mdz'u-
割,
剴,
創,
剩,
剿,yu-kmak
剷,"du""z"
剽,tehdit
劃,"bo""lmek"
劇,
劈,ku-rmak
劉,
劍,ku-lu-ts'
劑,ilats'
力,"gu""ts'"
加,eklemek
功,
劣,
劫,tehdit
助,yardu-m
努,
劬,olmak
劾,
勇,
勉,
勃,
勁,"gu""ts'lu"""
勒,
務,
勘,
動,hareket
勞,
勝,zafer
勛,
募,
勦,yu-kmak
勤,
勢,
勵,ts'abalamak
勸,
勻,es'it
勾,
勿,de:il
包,sarmak
匆,adz'ele
匈,
匍,"su""ru""nmek"
匐,"su""ru""nmek"
匏,kabak
匕,kas'u-k
化,de:is'mek
北,kuzey
匙,kas'u-k
匝,gitmek
匡,do:ru
匠,
匣,kutu
匪,
匯,
匱,"go"":u""s"
匹,es'it
匿,saklamak
區,
匾,
十,on
千,bin
午,"o"":le"
升,"o""lts'me"
卅,
仟,bin
半,yaru-m
卉,ot
卒,
協,
卓,
卑,as'a:u-
南,"gu""ney"
博,
卜,kehanet
卞,yasa
卡,
占,kehanet
卦,
卯,do:u
卮,
印,
危,
即,
卵,
卷,hadz'im
卸,
卹,
卻,
卿,sen
厄,
厚,kalu-n
原,
厝,kesmek
厥,o
厭,
厲,bile:itas'u-
去,
參,"u""ts'"
又,ayru-dz'a
叉,
友,dost
及,
反,
取,almak
叔,
受,
叛,itaatsizlik
叟,eski
曼,genis'
叢,
口,a:u-z
可,
古,eski
右,do:ru
召,
叮,nezaket
叩,vurmak
叨,
叼,
司,
叵,
叫,ba:u-rmak
另,
只,
史,
叱,azarlamak
台,
句,
叭,ats'mak
吉,sevints'
吏,
同,aynu-
吊,asmak
吐,"tu""ku""rmek"
吁,"u""nlem"
吋,
各,
向,
名,ad
合,uygun
吃,
后,
吆,
吒,ba:u-rmak
吝,dz'imri
吭,bo:az
吞,yutmak
吾,ben
否,
呎,ayak
吧,vurgulu
呆,
呃,
吳,
呈,
呂,
君,
吩,vermek
告,
吹,"u""flemek"
吻,
吸,emmek
吮,emmek
吵,
吶,kekemelik
吠,havlamak
吼,havlamak
呀,bos'
吱,dz'u-vu-ltu-
含,its'ermek
吟,"s'arku-so""ylemek"
味,
呵,azarlamak
咖,
呸,
咕,
咀,u-su-rmak
呻,inlemek
呷,
咄,azarlamak
咒,
咆,havlamak
呼,ts'a:u-rmak
咐,"u""flemek"
呱,a:lamak
呶,"gu""ru""ltu""lu"""
和,uyum
咚,
呢,vurgulu
周,
咋,ba:u-rmak
命,kader
咎,suts'lama
咬,u-su-rmak
哀,
咨,
哎,"u""nlem"
哉,nasu-l
咸,"bu""tu""n"
咦,
咳,
哇,
哂,
咽,bo:az
咪,
品,iyi
哄,
哈,okul
咯,kavga
咫,ku-sa
咱,
咻,ba:u-rmak
哨,
唐,ts'in
唁,ifade
唷,
哼,
哥,"bu""yu""k"
哲,
唆,
哺,
唔,okumak
哩,
哭,a:lamak
員,
唉,
哮,"ku""kremek"
哪,hangi
哦,"s'arku-so""ylemek"
唧,
商,satmak
啪,
啦,son
啄,
啞,
啡,
啃,
啊,parts'adz'u-k
唱,ilahi
啖,yemek
問,soru
啕,
唯,
啤,
唸,
售,satmak
啜,emmek
唬,
啣,tutmak
唳,a:lamak
啻,
喀,kusmak
喧,"gu""ru""ltu""lu"""
啼,havlamak
喊,a:lamak
喝,
喘,
喂,"u""nlem"
喜,sevinmek
喪,"o""zlemek"
喔,
喇,gevezelik
喋,konus'mak
喃,gevezelik
喳,
單,bir
喟,inlemek
唾,"tu""ku""ru""k"
喲,
喚,
喻,
喬,"yu""ksek"
喱,
啾,a:lamak
喉,bo:az
嗟,a:u-t
嗨,
嗓,ses
嗦,
嗎,son
嗜,gibi
嗇,dz'imri
嗑,sitem
嗣,
嗤,"gu""lmek"
嗯,
嗚,a:lamak
嗡,
嗅,koklamak
嗆,bo:mak
嗥,
嗾,ku-s'ku-rtmak
嘀,
嘛,bu:day
嘗,birkez
嗽,durulamak
嘔,kusmak
嘆,its'ts'ekmek
嘉,
嘍,kullanu-lmu-s'
嘎,"ko""tu"""
嗷,"gu""ru""ltu""lu"""
嘖,azarlamak
嘟,
嘈,"gu""ru""ltu""lu"""
嘮,
嘻,
嘹,kullanu-lmu-s'
嘲,alay
嘿,olmak
嘴,
嘩,"gu""ru""ltu""lu"""
噓,
噎,bo:mak
噗,
噴,
嘶,
嘯,"ku""kremek"
嘰,its'ts'ekmek
噙,
噫,"u""nlem"
噹,
噩,"ko""tu"""
噤,kapatmak
噸,
噪,olmak
器,kap
噥,
噱,"gu""lmek"
噯,"u""nlem"
噬,u-su-rmak
噢,inlemek
嚎,
嚀,iyilik
嚐,
嚅,konus'mak
嚇,
嚏,
嚕,
嚮,
嚥,yutmak
嚨,bo:az
嚷,ba:u-rmak
嚶,dz'u-vu-ltu-
嚴,
嚼,u-su-rmak
囁,fu-su-ltu-
囀,"s'arku-so""ylemek"
囂,"gu""ru""ltu""lu"""
囈,aptal
囊,ts'anta
囉,
囌,
囑,istek
四,"do""rt"
囚,
因,sebep
回,yuvarlak
囪,
困,
囤,tahu-l
固,
圃,bahts'e
圈,"ku""re"
國,"u""lke"
圍,
園,
圓,yen
團,birlik
圖,ts'ekmek
土,toprak
圳,sabanizi
地,yer
在,varolmak
圭,"ko""s'e"
圬,
圯,"ko""pru"""
坊,o:lan
坑,
址,harabe
坍,"ts'o""kmek"
均,"du""z"
坎,tuzak
圾,"ts'o""p"
坐,oturmak
坏,kase
垃,"ts'o""p"
坷,yer
坪,iki
坩,kavanoz
坡,set
坦,"du""z"
坤,kara
