char,word
一,n~e@t2
丁,din~1
七,the@t2
三,tam1
下,ha6
丈,ts`u-o^ng6
上,thu-o^ng6
丑,su-u4
丐,kai2
不,be@t2
丙,bin~2
世,the2
丕,ve@i6
且,tha4
丘,xe@u1
丞,thu-a3
丟,
並,
丫,a1
中,ts`ung1
串,suien2
丸,ho`an3
凡,fam3
丹,dam1
主,ts'ua2
乃,nai4
久,ku-u4
么,
之,ts'i1
尹,zo`an5
乍,ts'a6
乏,fap6
乎,ho3
乒,
乓,
乖,kwai1
乘,tha^ng6
乙,e@t2
九,ku-u4
也,za5
乞,xe@t2
乩,
乳,vu2
乾,kien3
亂,lo`an6
了,lieu5
予,n~u-3
事,su-6
二,n~i3
于,vu1
云,ve@n1
井,tin~4
互,ho5
五,ngu5
亙,ka^ng4
些,ta1
亞,
亟,ke@k2
亡,vo`ng1
交,zao`1
亦,
亥,ho^i6
亨,han~1
享,hu-o^ng4
京,kin~1
亭,din~3
亮,
人,n~e@n1
仁,n~e@n1
什,the@p6
仃,du-ng3
仆,bo`k6
仇,ku-u3
仍,n~u-ng1
今,kim1
介,zo^i2
仄,ts`a^k2
以,
付,fo`2
仔,tu-4
仕,si5
他,tha1
仗,ts`u-o^ng6
代,dai6
令,len~6
仙,tien1
仞,
仿,fang4
伉,
伙,
伊,i1
伕,
伍,ngu5
伐,fat6
休,hu-u1
伏,fuk6
仲,
件,kien6
任,n~e@m6
仰,ngu-o^ng5
仳,
份,fe@n3
企,si2
位,vi6
住,ts`u2
佇,
佗,
佞,nin~6
伴,ban6
佛,fe@t6
何,
估,
佐,ta2
佑,
伽,za3
伺,
伸,
佃,dien3
佔,
似,tu-6
但,
佣,
作,tak2
你,ne4
伯,ba2
低,de@i1
伶,ran~3
余,zu-1
佝,
佯,
依,i1
侍,
佳,zai1
使,su-2
佬,
供,kung1
例,le3
來,lai1
侃,
佰,
併,tin~2
侈,si4
佩,
佻,dieu1
侖,lo`n4
佾,
侏,
信,tin2
侵,se@m1
侯,he@u6
便,tien6
俠,hiep6
俑,zo`ng5
俏,
保,bao`4
促,suk2
侶,lu-a2
俘,
俟,
俊,tue@n2
俗,tuk6
侮,
俐,lo^i6
俄,
係,he6
俚,lai2
俎,
俞,
倌,
倍,boi6
倣,fo`ng4
俯,
倦,kwien6
倥,
俸,bong4
倩,thien2
倖,han~5
倆,
值,
借,ta2
倚,i4
倒,dao`4
們,mo`n2
俺,e'm1
倀,ts`an~3
倔,
倨,
俱,ke@u1
倡,su-o^ng2
個,ka2
候,he@u3
倘,tha^ng4
俳,
修,tu1
倭,o`ai4
倪,nge1
俾,
倫,lue@n1
倉,
偺,
偽,ngui6
停,din~3
假,
偃,en~5
偌,
做,
偉,vi5
健,kien6
偶,nge@u5
偎,
偕,
偵,ts`in~1
側,ts`a^k2
偷,
偏,thien1
倏,
傢,
傍,bang3
傅,fo`2
備,bi6
傑,kiet6
傀,
傖,
傘,tan3
傭,
債,ts`ai2
傲,ngao`6
傳,ts`uien3
僅,
傾,xuin~1
催,tho`i3
傷,thu-o^ng1
傻,
傯,
僧,ta^ng1
僮,dong3
僥,nge'o`6
僖,
僭,tiem2
僚,lieu1
僕,bok6
像,tu-o^ng6
僑,kweu3
僱,
億,u-k2
儀,ngi1
僻,
僵,
價,za2
儂,nung3
儈,kui2
儉,kiem6
儒,n~o`1
儘,
儔,
儐,
優,
償,
儡,
儲,
儷,
儼,ngiem5
兀,ngot6
元,nguien1
允,
充,sung1
兄,huin~1
光,kwang1
兇,hung1
兆,ts`ieu6
先,tien1
兌,
克,xa^k2
免,mien5
兔,tho`4
兒,
兕,
兗,
兜,de@u1
兢,kan~6
入,n~e@p6
內,
全,to`an3
兩,lu-o^ng5
八,bat2
六,luk6
兮,he3
公,kong1
共,kong6
兵,bin~1
具,ku6
其,ki3
典,dien4
兼,kiem1
冀,
冉,n~iem5
冊,
再,tai2
冒,mao`6
冑,
冕,mien6
最,toi2
冗,n~ung5
冠,kwan2
冤,o`an1
冥,min~1
冢,
冬,dong1
冰,ba^ng1
冶,za5
冷,lan~6
冽,re't2
凍,dong1
凌,la^ng1
准,ts'on2
凋,
凜,le@m5
凝,ngu-ng1
几,ki4
凰,
凱,xai4
凳,
凶,hung1
凹,
出,sue@t2
凸,
函,ho`m3
刀,dao`1
刁,dieu1
刃,n~e@n5
分,fe@n1
切,thiet2
刈,
刊,san1
列,liet6
刑,hin~3
划,
刎,ve@n5
別,biet2
判,fan2
利,lo^i6
刪,
刨,bao`3
刻,xa^k2
券,
刷,lo`at2
刺,thits'2
到,dao`2
刮,
制,ts'e2
剁,
剎,
剃,
削,tu-o^k2
前,tien3
剌,
剋,
則,ta^k2
剖,bo`1
剜,
剔,
剛,
剝,bo`k2
剪,tien6
副,fo`2
割,ka^t2
剴,
創,sang2
剩,
剿,tieu5
剷,se'ng4
剽,
劃,vats'6
劇,kits'6
劈,
劉,
劍,kiem2
劑,te5
力,lu-k6
加,za1
功,kong1
劣,
劫,
助,ts`o^6
努,
劬,ku3
劾,hats'6
勇,zung5
勉,mien5
勃,bot6
勁,ku-ng2
勒,la^k2
務,vu6
勘,xam2
動,dong6
勞,lao`1
勝,tha^ng2
勛,hue@n1
募,
勦,te'o`6
勤,ke@n3
勢,the2
勵,le6
勸,xuien2
勻,
勾,
勿,ve@t6
包,bao`1
匆,
匈,hung1
匍,bo`3
匐,ba^k6
匏,be@u3
匕,
化,ho`a2
北,
匙,
匝,tap2
匡,xuon1
匠,
匣,hop6
匪,fi4
匯,
匱,kwi5
匹,the@t2
匿,na^k6
區,xu1
匾,
十,the@p6
千,thien1
午,ngo`6
升,tha^ng1
卅,tap6
仟,
半,ban2
卉,
卒,tot2
協,hiep2
卓,ts`ak2
卑,
南,nam1
博,bak2
卜,bok2
卞,bien6
卡,
占,ts'iem1
卦,kwai2
卯,mao`5
卮,
印,e@n2
危,ngui1
即,tu-k2
卵,
卷,kwien4
卸,
卹,
卻,xu-o^k2
卿,xan~1
厄,ats'2
厚,
原,nguien1
厝,so`2
厥,
厭,u-o^m2
厲,le'6
去,xu-2
參,tham1
又,lai6
叉,
友,hu-u5
及,ke@p6
反,fan4
取,thu4
叔,thuk2
受,thu6
叛,ban6
叟,
曼,man1
叢,
口,xe@u4
可,xa4
古,ko4
右,hu-u5
召,ts'iu6
叮,din~1
叩,xe@u2
叨,
叼,
司,ti1
叵,
叫,xieu2
另,lan~2
只,ts'i4
史,su-4
叱,su-t2
台,thai1
句,ke@u1
叭,bo^t2
吉,kat2
吏,lai6
同,dong3
吊,
吐,tho4
吁,hu1
吋,
各,kak2
向,hu-o^ng2
名,zan~1
合,ho^p6
吃,xe@t6
后,he@u6
吆,
吒,ts'a1
吝,le@n6
吭,
吞,
吾,ngo`1
否,bi5
呎,sets'2
吧,va3
呆,ngok2
呃,n~ats'2
吳,ngo1
呈,ts`in~3
呂,la5
君,kwe@n1
吩,fan3
告,
吹,sui1
吻,ve@n5
吸,kop6
吮,
吵,sao`4
吶,
吠,
吼,hong2
呀,n~a2
吱,ts'e1
含,ham3
吟,nge@m1
味,vi6
呵,ha1
咖,
呸,be@i6
咕,
咀,tho^4
呻,
呷,
咄,so`t2
咒,ts'u2
咆,bau3
呼,ho1
咐,fo`2
呱,o`a1
呶,nao`1
和,ho`a3
咚,zo`ng6
呢,nai3
周,ts'u1
咋,ts'a6
命,men~6
咎,
咬,rao`1
哀,ai1
咨,
哎,
哉,tai1
咸,
咦,
咳,kai1
哇,o`a3
哂,
咽,n~a^n3
咪,
品,fe@m4
哄,ho`ng6
哈,ho`p2
咯,xak6
咫,
咱,
咻,hiu1
哨,
唐,du-o^ng3
唁,ngo`n1
唷,zo`k2
哼,
哥,ka1
哲,ts`iet2
唆,
哺,fo1
唔,
哩,
哭,xo`k2
員,vien1
唉,hai5
哮,hao`1
哪,na2
