char,word
一,yi1
丁,ting1
七,ts^hi1
三,san1
下,s^ia4
丈,ts`ang4
上,s`ang4
丑,ts`hou3
丐,kai4
不,pu4
丙,ping3
世,s`i4
丕,phi1
且,ts^hie3
丘,ts^hiu1
丞,ts`heng2
丟,tiu1
並,ping4
丫,ya1
中,ts`ong1
串,ts`huan4
丸,wan2
凡,fan2
丹,tan1
主,ts`u3
乃,nai3
久,ts^iu3
么,me
之,ts`i1
尹,yin3
乍,ts`a4
乏,fa2
乎,hu1
乒,phing1
乓,phang1
乖,kuai1
乘,ts`heng2
乙,yi3
九,ts^iu3
也,ye3
乞,ts^hi3
乩,ts^i1
乳,z`u3
乾,ts^hian2
亂,luan4
了,le
予,"u""3"
事,s`i4
二,er4
于,"u""2"
云,"u""n2"
井,ts^ing3
互,hu4
五,wu3
亙,ken4
些,s^ie1
亞,ya4
亟,ts^i2
亡,wang2
交,ts^iao1
亦,yi4
亥,hai4
亨,heng1
享,s^iang3
京,ts^ing1
亭,thing2
亮,liang4
人,z`en2
仁,z`en2
什,s`en2
仃,ting1
仆,phu1
仇,ts`hou2
仍,z`eng2
今,ts^in1
介,ts^ie4
仄,tse4
以,yi3
付,fu4
仔,tsi3
仕,s`i4
他,tha1
仗,ts`ang4
代,tai4
令,ling4
仙,s^ian1
仞,z`en4
仿,fang3
伉,khang4
伙,huo3
伊,yi1
伕,fu1
伍,wu3
伐,fa2
休,s^iu1
伏,fu2
仲,ts`ong4
件,ts^ian4
任,z`en4
仰,yang3
仳,phi3
份,fen4
企,ts^hi3
位,wei4
住,ts`u4
佇,ts`u4
佗,thuo2
佞,ning4
伴,pan4
佛,fu2
何,he2
估,ku1
佐,tsuo3
佑,you4
伽,ts^ia1
伺,tshi4
伸,s`en1
佃,tian4
佔,ts`an4
似,s`i4
但,tan4
佣,yong1
作,tsuo4
你,ni3
伯,po2
低,ti1
伶,ling2
余,"u""2"
佝,kou1
佯,yang2
依,yi1
侍,s`i4
佳,ts^ia1
使,s`i3
佬,lao3
供,kong1
例,li4
來,lai2
侃,khan3
佰,pai3
併,ping4
侈,ts`hi3
佩,phei4
佻,thiao1
侖,lun2
佾,yi4
侏,ts`u1
信,s^in4
侵,ts^hin1
侯,hou2
便,pian4
俠,s^ia2
俑,yong3
俏,ts^hiao4
保,pao3
促,tshu4
侶,"lu""3"
俘,fu2
俟,ts^hi2
俊,"ts^u""n4"
俗,su2
侮,wu3
俐,li4
俄,e2
係,s^i4
俚,li3
俎,tsu3
俞,"u""2"
倌,kuan1
倍,pei4
倣,fang3
俯,fu3
倦,"ts^u""an4"
倥,khong1
俸,feng4
倩,ts^hian4
倖,s^ing4
倆,lia3
值,ts`i2
借,ts^ie4
倚,yi3
倒,tao4
們,men
俺,an3
倀,ts`hang1
倔,"ts^u""e2"
倨,"ts^u""4"
俱,"ts^u""4"
倡,ts`hang4
個,ke4
候,hou4
倘,thang3
俳,phai2
修,s^iu1
倭,wo1
倪,ni2
俾,pi3
倫,lun2
倉,tshang1
偺,tsa2
偽,wei3
停,thing2
假,ts^ia3
偃,yan3
偌,z`uo4
做,tsuo4
偉,wei3
健,ts^ian4
偶,ou3
偎,wei1
偕,s^ie2
偵,ts`en1
